VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,"4/30/2023, 8:33:13 PM","4/30/2023, 8:53:01 PM",0,7.8,1,N,138,43,1,33.8,7.75,0.5,8.6,0,1,51.65,0,1.75
1,"4/30/2023, 8:42:49 PM","4/30/2023, 9:11:18 PM",2,8.1,1,N,138,262,1,35.9,10.25,0.5,9.5,0,1,57.15,2.5,1.75
1,"4/30/2023, 8:56:34 PM","4/30/2023, 9:13:39 PM",2,9.1,1,N,138,141,1,35.2,10.25,0.5,10.7,6.55,1,64.2,2.5,1.75
2,"4/30/2023, 8:00:52 PM","4/30/2023, 8:20:12 PM",1,8.21,1,N,138,140,1,33.1,6,0.5,2.24,0,1,47.09,2.5,1.75
1,"4/30/2023, 8:05:50 PM","4/30/2023, 8:19:41 PM",0,7.9,1,N,138,263,1,31,10.25,0.5,9.85,6.55,1,59.15,2.5,1.75
1,"4/30/2023, 8:42:54 PM","4/30/2023, 9:04:49 PM",0,10.4,1,N,138,246,1,42.2,10.25,0.5,8.5,6.55,1,69,2.5,1.75
2,"4/30/2023, 8:50:34 PM","4/30/2023, 9:12:09 PM",1,9.05,1,N,138,116,1,38,6,0.5,10.76,6.55,1,64.56,0,1.75
1,"4/30/2023, 8:13:58 PM","4/30/2023, 8:18:10 PM",1,0.7,1,N,161,48,1,6.5,3.5,0.5,2.85,0,1,14.35,2.5,0
2,"4/30/2023, 7:48:31 PM","4/30/2023, 7:57:35 PM",1,2.38,1,N,249,231,2,12.1,1,0.5,0,0,1,17.1,2.5,0
2,"4/30/2023, 8:28:47 PM","4/30/2023, 8:39:33 PM",1,2.92,1,N,114,230,2,14.9,1,0.5,0,0,1,19.9,2.5,0
2,"4/30/2023, 8:18:49 PM","4/30/2023, 8:43:41 PM",1,14.29,1,N,138,13,1,54.1,6,0.5,12.82,0,1,78.67,2.5,1.75
1,"4/30/2023, 8:52:48 PM","4/30/2023, 9:17:35 PM",1,11.3,1,N,132,129,1,45,1,0.5,6,0,1,53.5,0,0
2,"4/30/2023, 8:55:22 PM","4/30/2023, 8:58:20 PM",1,1.19,1,N,230,100,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,"4/30/2023, 8:28:12 PM","4/30/2023, 8:36:09 PM",1,2.3,1,N,170,140,1,12.1,1,0.5,2,0,1,19.1,2.5,0
2,"4/30/2023, 8:04:27 PM","4/30/2023, 8:26:38 PM",2,12.81,1,N,138,181,1,49.9,6,0.5,17.74,0,1,76.89,0,1.75
1,"4/30/2023, 8:07:05 PM","4/30/2023, 8:08:45 PM",1,0.6,1,N,107,170,3,4.4,3.5,0.5,0,0,1,9.4,2.5,0
1,"4/30/2023, 8:30:56 PM","4/30/2023, 8:36:33 PM",1,1.9,1,N,162,236,1,10,3.5,0.5,2.25,0,1,17.25,2.5,0
2,"4/30/2023, 8:47:34 PM","4/30/2023, 9:17:55 PM",1,17.45,1,N,132,37,1,67.4,1,0.5,13.98,0,1,83.88,0,0
2,"4/30/2023, 8:53:26 PM","4/30/2023, 8:57:47 PM",1,0.6,1,N,186,100,2,5.8,1,0.5,0,0,1,10.8,2.5,0
2,"4/30/2023, 8:34:15 PM","4/30/2023, 8:51:43 PM",1,8.73,1,N,70,238,1,35.2,6,0.5,16.05,6.55,1,69.55,2.5,1.75
1,"4/30/2023, 8:14:01 PM","4/30/2023, 8:14:23 PM",1,0,1,N,132,132,3,3,1,0.5,0,0,1,5.5,0,0
