VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,"4/30/2023, 8:52:10 PM","4/30/2023, 9:05:26 PM",N,1,244,213,1,6.99,28.9,1,0.5,0,0,-,1,31.4,1,1,0
2,"4/30/2023, 8:29:49 PM","4/30/2023, 8:50:11 PM",N,1,33,100,1,6.6,30.3,1,0.5,5,0,-,1,40.55,1,1,2.75
2,"4/30/2023, 8:25:19 PM","4/30/2023, 8:32:12 PM",N,1,244,244,1,1.34,9.3,1,0.5,2.36,0,-,1,14.16,1,1,0
2,"4/30/2023, 8:07:06 PM","4/30/2023, 8:27:33 PM",N,5,82,75,1,7.79,22.73,0,0,2.29,6.55,-,1,32.57,1,1,0
2,"4/30/2023, 8:43:31 PM","4/30/2023, 8:46:59 PM",N,1,69,169,1,0.7,6.5,1,0.5,0,0,-,1,9,2,1,0
2,"4/30/2023, 8:51:54 PM","4/30/2023, 9:00:24 PM",N,1,169,69,1,1.54,10,1,0.5,0,0,-,1,12.5,1,1,0
2,"4/30/2023, 8:27:46 PM","4/30/2023, 8:49:17 PM",N,1,75,80,1,10.75,42.2,1,0.5,0,6.55,-,1,51.25,1,1,0
1,"4/30/2023, 8:27:14 PM","4/30/2023, 8:41:23 PM",N,1,41,244,1,4.4,15,0.5,1.5,3.4,0,-,1,20.4,1,1,0
2,"4/30/2023, 8:24:14 PM","4/30/2023, 8:35:16 PM",N,1,74,151,1,2.6,14.2,1,0.5,4.18,0,-,1,20.88,1,1,0
2,"4/30/2023, 8:46:55 PM","4/30/2023, 8:59:19 PM",N,1,166,244,1,2.72,15.6,1,0.5,3.62,0,-,1,21.72,1,1,0
2,"4/30/2023, 8:47:56 PM","4/30/2023, 9:03:36 PM",N,1,95,82,1,2.95,18.4,1,0.5,2,0,-,1,22.9,1,1,0
2,"4/30/2023, 8:01:24 PM","4/30/2023, 8:09:45 PM",N,1,95,95,2,1.69,10,1,0.5,0,0,-,1,12.5,2,1,0
2,"4/30/2023, 8:11:52 PM","4/30/2023, 9:06:57 PM",N,1,129,82,2,2.47,42.2,1,0.5,0,0,-,1,44.7,2,1,0
2,"4/30/2023, 8:43:51 PM","4/30/2023, 9:10:50 PM",N,1,173,129,2,3.6,25.4,1,0.5,0,0,-,1,27.9,2,1,0
