VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2023-04-30 20:42:49,2023-04-30 21:11:18,2,8.1,1,N,138,262,1,35.9,10.25,0.5,9.5,0.0,1,57.15,2.5,1.75
1,2023-04-30 20:56:34,2023-04-30 21:13:39,2,9.1,1,N,138,141,1,35.2,10.25,0.5,10.7,6.55,1,64.2,2.5,1.75
2,2023-04-30 20:00:52,2023-04-30 20:20:12,1,8.21,1,N,138,140,1,33.1,6.0,0.5,2.24,0.0,1,47.09,2.5,1.75
2,2023-04-30 20:50:34,2023-04-30 21:12:09,1,9.05,1,N,138,116,1,38.0,6.0,0.5,10.76,6.55,1,64.56,0.0,1.75
1,2023-04-30 20:13:58,2023-04-30 20:18:10,1,0.7,1,N,161,48,1,6.5,3.5,0.5,2.85,0.0,1,14.35,2.5,0.0
2,2023-04-30 19:48:31,2023-04-30 19:57:35,1,2.38,1,N,249,231,2,12.1,1.0,0.5,0.0,0.0,1,17.1,2.5,0.0
2,2023-04-30 20:28:47,2023-04-30 20:39:33,1,2.92,1,N,114,230,2,14.9,1.0,0.5,0.0,0.0,1,19.9,2.5,0.0
2,2023-04-30 20:18:49,2023-04-30 20:43:41,1,14.29,1,N,138,13,1,54.1,6.0,0.5,12.82,0.0,1,78.67,2.5,1.75
1,2023-04-30 20:52:48,2023-04-30 21:17:35,1,11.3,1,N,132,129,1,45.0,1.0,0.5,6.0,0.0,1,53.5,0.0,0.0
2,2023-04-30 20:55:22,2023-04-30 20:58:20,1,1.19,1,N,230,100,1,7.2,1.0,0.5,2.44,0.0,1,14.64,2.5,0.0
2,2023-04-30 20:28:12,2023-04-30 20:36:09,1,2.3,1,N,170,140,1,12.1,1.0,0.5,2.0,0.0,1,19.1,2.5,0.0
2,2023-04-30 20:04:27,2023-04-30 20:26:38,2,12.81,1,N,138,181,1,49.9,6.0,0.5,17.74,0.0,1,76.89,0.0,1.75
1,2023-04-30 20:07:05,2023-04-30 20:08:45,1,0.6,1,N,107,170,3,4.4,3.5,0.5,0.0,0.0,1,9.4,2.5,0.0
1,2023-04-30 20:30:56,2023-04-30 20:36:33,1,1.9,1,N,162,236,1,10.0,3.5,0.5,2.25,0.0,1,17.25,2.5,0.0
2,2023-04-30 20:47:34,2023-04-30 21:17:55,1,17.45,1,N,132,37,1,67.4,1.0,0.5,13.98,0.0,1,83.88,0.0,0.0
2,2023-04-30 20:53:26,2023-04-30 20:57:47,1,0.6,1,N,186,100,2,5.8,1.0,0.5,0.0,0.0,1,10.8,2.5,0.0
2,2023-04-30 20:34:15,2023-04-30 20:51:43,1,8.73,1,N,70,238,1,35.2,6.0,0.5,16.05,6.55,1,69.55,2.5,1.75
1,2023-04-30 20:15:57,2023-04-30 20:46:34,1,18.2,2,N,132,144,1,70.0,4.25,0.5,10.0,0.0,1,85.75,2.5,1.75
2,2023-04-30 20:44:34,2023-04-30 21:25:25,1,21.17,2,N,132,239,1,70.0,0.0,0.5,16.46,6.55,1,98.76,2.5,1.75
1,2023-04-30 20:13:31,2023-04-30 20:29:06,1,9.1,1,N,138,232,1,34.5,10.25,0.5,9.25,0.0,1,55.5,2.5,1.75
1,2023-04-30 20:34:39,2023-04-30 20:45:59,1,1.6,1,N,148,249,1,10.0,3.5,0.5,3.0,0.0,1,18.0,2.5,0.0
2,2023-04-30 20:07:58,2023-04-30 20:21:31,1,3.24,1,N,186,4,1,17.0,1.0,0.5,5.0,0.0,1,27.0,2.5,0.0
1,2023-04-30 20:45:50,2023-04-30 21:17:48,2,18.5,1,N,132,97,1,70.2,1.0,0.5,0.0,0.0,1,72.7,0.0,0.0
1,2023-04-30 20:19:37,2023-04-30 20:49:42,1,19.1,1,N,132,97,1,70.9,2.75,0.5,10.0,0.0,1,85.15,0.0,1.75
2,2023-04-30 20:46:14,2023-04-30 21:09:19,1,14.73,1,N,138,203,2,54.8,6.0,0.5,0.0,0.0,1,64.05,0.0,1.75
2,2023-04-30 20:24:27,2023-04-30 20:48:51,1,16.46,2,N,132,233,1,70.0,0.0,0.5,0.0,6.55,1,82.3,2.5,1.75
2,2023-04-30 20:02:13,2023-04-30 20:09:26,1,1.73,1,N,48,186,1,10.7,1.0,0.5,0.0,0.0,1,15.7,2.5,0.0
2,2023-04-30 20:10:47,2023-04-30 20:15:01,2,0.61,1,N,186,90,1,6.5,1.0,0.5,0.0,0.0,1,11.5,2.5,0.0
2,2023-04-30 20:30:22,2023-04-30 20:36:54,3,1.06,1,N,249,234,4,8.6,1.0,0.5,0.0,0.0,1,13.6,2.5,0.0
2,2023-04-30 20:13:37,2023-04-30 20:36:14,1,10.29,1,N,138,61,1,42.2,6.0,0.5,10.29,0.0,1,61.74,0.0,1.75
2,2023-04-30 20:33:02,2023-04-30 21:01:04,1,18.58,1,N,132,256,1,68.8,1.0,0.5,14.26,0.0,1,85.56,0.0,0.0
2,2023-04-30 20:11:17,2023-04-30 20:15:46,1,1.3,1,N,246,48,1,7.9,1.0,0.5,2.0,0.0,1,14.9,2.5,0.0
2,2023-04-30 20:16:06,2023-04-30 20:49:43,2,18.52,2,N,132,50,1,70.0,0.0,0.5,10.0,6.55,1,92.3,2.5,1.75
2,2023-04-30 20:50:02,2023-04-30 20:55:05,1,1.65,1,N,50,143,1,9.3,1.0,0.5,2.14,0.0,1,16.44,2.5,0.0
2,2023-04-30 19:59:43,2023-04-30 20:07:57,6,1.61,1,N,68,161,1,10.7,1.0,0.5,3.14,0.0,1,18.84,2.5,0.0
2,2023-04-30 20:50:14,2023-04-30 21:13:03,1,11.02,1,N,138,114,1,44.3,6.0,0.5,5.6,0.0,1,61.65,2.5,1.75
2,2023-04-30 20:51:46,2023-04-30 21:05:46,1,7.94,1,N,70,263,1,31.0,1.0,0.5,5.0,6.55,1,49.3,2.5,1.75
2,2023-04-30 20:17:46,2023-04-30 20:22:08,1,1.08,1,N,246,50,1,7.2,1.0,0.5,2.44,0.0,1,14.64,2.5,0.0
2,2023-04-30 20:06:30,2023-04-30 20:28:28,1,9.5,1,N,138,238,1,39.4,6.0,0.5,11.19,6.55,1,68.89,2.5,1.75
2,2023-04-30 20:55:23,2023-04-30 21:25:40,1,18.82,2,N,132,113,1,70.0,0.0,0.5,8.0,6.55,1,90.3,2.5,1.75
2,2023-04-30 20:46:55,2023-04-30 21:06:09,1,11.23,1,N,138,243,1,42.2,6.0,0.5,14.06,6.55,1,72.06,0.0,1.75
2,2023-04-30 20:45:52,2023-04-30 21:13:11,1,18.96,1,N,132,3,1,70.2,1.0,0.5,15.85,6.55,1,95.1,0.0,0.0
1,2023-04-30 20:13:55,2023-04-30 20:36:55,1,10.8,1,N,138,143,1,42.2,10.25,0.5,12.1,6.55,1,72.6,2.5,1.75
1,2023-04-30 20:52:39,2023-04-30 20:59:19,1,1.5,1,N,249,68,2,9.3,3.5,0.5,0.0,0.0,1,14.3,2.5,0.0
2,2023-04-30 20:00:48,2023-04-30 20:09:57,1,2.25,1,N,237,107,1,12.8,1.0,0.5,3.56,0.0,1,21.36,2.5,0.0
1,2023-04-30 20:22:14,2023-04-30 20:55:35,1,11.7,1,N,132,61,2,49.9,2.75,0.5,0.0,0.0,1,54.15,0.0,1.75
1,2023-04-30 20:38:46,2023-04-30 21:14:23,1,20.3,2,N,132,141,1,70.0,2.5,0.5,16.1,6.55,1,96.65,2.5,0.0
